area_in_sqft,price
3209,6830181
3411,7320766
2915,6334028
4887,6921732
4872,6571686
4552,5997319
4867,7147627
2079,6888801
4627,6661469
3408,7257642
4541,6676202
2813,5588089
4743,6093777
2384,5935668
3268,7106716
2300,5163411
4686,5825479
4893,5594384
2031,7376512
2899,5780628
4793,6469887
4350,6856784
3670,6148191
2199,6853982
2684,5678069
4445,5967854
3568,6352473
4742,5724829
3886,5679669
3937,6325335
2344,6517838
3085,7294747
2940,6720856
2478,5632752
4365,5547447
3729,5611388
2983,6908165
3675,7361651
3516,5211991
3631,5836808
2191,5132697
3615,7009721
4763,5309844
3753,5237099
2754,5009757
4336,5085353
3200,6360540
3979,6602792
4574,6241663
4373,5003526
4289,6763377
2496,7219840
4262,5455174
2350,5039007
2107,6424665
2221,6209023
4647,6147385
4321,5265187
4609,6933357
4314,7022293
3964,6630791
3391,7178578
2184,5180991
4809,6653327
3169,5381358
3035,6871596
2871,6014251
2414,5220898
2316,5705458
4418,6140303
3413,5413387
4752,7313529
4536,7401842
3483,6000621
3432,7251636
4391,5877605
3111,6461359
4359,5939548
3252,6358320
4193,5820331
4267,7010028
2038,7125804
4786,6193978
2517,7101577
2594,6538287
2796,5889305
3087,7210088
2854,6626944
3643,7102624
4329,5719537
4215,6347815
3634,5128495
3368,5708144
2571,5208742
2413,5113510
3768,7457874
3729,6064916
4295,6407117
2356,5595143
2448,5314885
4404,5206471
4344,5909028
3103,6604367
2541,6065191
3789,5861935
4213,5697977
2202,7309620
3626,5568652
3210,5508899
2978,5085618
3254,5093081
3508,5922874
4445,6269385
2715,6818830
3128,7160605
4521,5283414
3254,5029623
2573,6975766
2851,5987696
4181,7279164
4463,5168688
4225,6297734
3463,6020614
4625,5191221
4231,6192216
2524,7206977
4207,6899711
4114,6128613
3507,6901002
2234,5802138
2234,6643938
3662,5679387
4776,5428802
4630,5201876
3831,5713127
2767,5571517
3185,6213883
4304,5066684
4620,7458486
4531,6415420
3938,6858876
2330,5585031
3180,6108925
3015,5358697
4666,6503794
4804,5261721
3699,7338563
4797,7319288
3247,6100679
2383,6009094
2224,5227377
2034,5093322
2839,7303007
2539,7180510
3822,5655207
4197,7282553
2109,7190171
3756,5817648
2205,5826165
2649,6256621
2654,5349024
3716,6690861
3096,5615884
2734,5127452
3472,6159259
2869,5094581
2993,7433411
3544,5037330
2532,6535536
2660,7197401
2354,6138639
2513,5421772
3663,6846356
2072,5867171
4986,5416623
2177,7454466
4180,6317947
4556,6814010
4287,6014686
2983,6191710
4599,6096219
2550,5096852
2778,5489480
2483,5499572
2927,6598782
3975,6968596
2736,5508363
2186,6522696
3488,6246177
4387,5949640
3877,5733464
4487,6464683
3564,6299003
2715,5684940
2259,6583539
4383,6587376
3946,7418236
2480,6599425
3854,7463625
3927,6093334
2908,6336692
2984,7148155
2787,6106255
4206,6901286
2561,7236672
4380,7406472
4314,7312384
4098,5103631
3590,6366331
3893,5506060
2569,5290899
2574,5317975
3372,6555958
4196,7424367
2020,7210606
4119,7314540
4905,6444215
4126,5933752
4212,7153218
3651,6464578
2974,6979697
2615,5808469
3479,6569927
2801,5668771
3200,5089219
2216,7190546
3167,5166842
3654,7221569
2436,7085715
4135,5305117
3779,5023758
2832,5503709
4245,5823135
4965,6230768
4369,5251096
4691,6337951
3968,5784534
3120,5563832
3327,5280476
3563,5170538
4818,6820158
4837,6409707
3188,6607472
2593,6316332
4316,6548454
4049,6716739
4582,7123609
2577,7219611
2296,5517509
3898,6465701
2264,5192490
3246,5383080
3943,5383438
3972,5590009
4159,5970394
3280,6179526
4526,5245549
2874,7308550
2541,5157506
4047,5926359
2798,5511094
3865,5987202
2456,5414287
3644,5215733
4635,7120770
4536,6785458
4920,7260202
3614,5007811
2959,6134725
3299,5117791
3771,5891070
2630,6242117
2482,6449716
2014,5941112
3390,5088329
4417,6077256
2525,5402285
2853,5703108
4871,5221036
4870,6534460
4263,5294696
2527,6741486
4690,5825378
2180,7393798
2545,6184652
4580,5847329
3724,6499492
3512,5760042
3664,7237458
2038,6690769
2773,5753548
4307,7196509
4985,6885553
4872,6877719
4352,7331472
3950,6524696
4152,5259434
4954,5101969
3001,5398332
4355,6392963
2679,7472648
3653,6677620
4325,5394270
4951,6560354
2485,5920144
2847,5407335
2671,6911184
2486,6423885
2294,5423418
4124,5864138
4453,6239066
3950,6973503
2857,6000269
4083,7351872
2972,7421355
2684,6244822
4724,5565180
4545,5604132
4571,6530768
3097,5875521
3842,5288733
2921,6994194
3313,6933360
4629,5421348
3513,6408501
2787,7268472
3364,6546749
2492,6668749
3013,5086335
2827,5819591
4473,5373430
3576,6208432
4222,5555579
3953,6490330
2850,7178949
4552,5473243
4850,5717597
3952,5686280
2821,6894896
3597,7336954
3901,6670185
2913,5775865
3773,6366159
2034,5336511
4261,7455682
3152,6588465
4383,7221890
3948,5444751
4026,7180120
4357,5088305
3918,5695042
4428,6413442
4324,5847704
3059,6423871
2944,5729422
3536,5321845
3434,7267373
3665,5882486
4916,6137713
3171,5542278
4812,5828620
2263,6679502
4096,5598143
4146,5053955
3758,6039804
2927,5099417
2761,5431156
2055,7271287
2091,5651739
3807,5426094
3852,5181828
4711,5764837
3913,6078827
3329,5733977
2711,5578257
4722,6795566
4140,5331838
3267,5634173
4597,6589555
3055,7267069
4860,7473914
3071,6227589
3025,6792768
3072,7407616
2387,5125460
4725,5691792
4389,7264677
2658,7140320
3507,5830634
4356,7441986
2168,6745082
2040,5854362
4388,6157131
4194,6663017
3083,6692188
4884,6422228
4514,6133259
4848,7362127
3267,5123092
3395,6316537
4853,5630230
2483,6522491
3201,7452664
4341,5936888
3833,6223966
3983,6309239
2630,7292931
4587,5155442
2815,7138888
4851,6126995
4711,6975646
3497,5161455
2764,5783084
3013,5996131
4570,5483934
2331,7322123
3032,5413150
2753,6685717
4363,5783656
2332,6854712
2699,7242906
3188,5761956
2765,6349274
3476,5329236
3699,6585778
2012,7351581
3461,5890451
4574,5637120
3044,7290278
3833,5580955
3139,6230866
2622,6214959
2329,6372544
4416,6810788
4326,6995492
4396,6845104
2506,6379046
4240,7137666
2725,5603454
4371,6657591
3688,6057093
2521,5527756
2034,5192539
4375,5054647
2829,6791492
4985,6367170
3721,5869336
2995,7424789
3001,5461029
2208,5849329
2312,5348859
4061,5835109
3959,5849900
4336,6233730
3187,5083784
2073,6590205
3870,5591211
4341,6495295
4643,6473498
2673,7033792
3220,5974405
4520,7405979
3986,6350703
2442,6457278
3987,6925095
4104,5456708
4469,6508394
3465,6310596
2387,7404646
4003,7145452
3241,7446006
2940,6800503
4976,6839151
3841,7280601
4873,6617760
2253,6773522
2299,7092608
4375,6364188
4339,5134594
2288,5065525
3103,6953554
3967,6132029
3666,6500473
3739,7334476
4795,6041052
4116,6664708
3360,6512978
3781,5005193
4235,6543100
3950,5121141
2770,5268257
3654,5542949
2653,7436512
3463,7020856
3240,7310655
2295,5330805
2944,6311874
2014,7462705
3432,6785381
2133,5834097
4712,5795595
2425,5974051
4360,5645709
2229,7040053
3187,7280417
2174,6550021
2527,5252604
4595,6635596
2175,7141409
4338,5970507
3512,5136571
2140,6359536
3418,5442046
4893,6368728
2529,7246149
2235,7465160
2866,6634341
4508,5044658
2096,5643737
4816,5367290
4799,5943390
2722,5845858
2349,6610065
3319,7487942
3300,5003859
4925,6212948
4498,5474688
4939,6897581
2639,6705064
2484,5111526
2725,5073970
2670,6397773
3603,5364264
3720,7325817
2455,5319852
4629,7067560
4069,6474953
4837,5203046
3997,6456523
3281,6658004
2927,6238919
4019,6952740
3917,5717363
4698,6510714
4056,6401869
4087,7069798
2771,5188104
2988,5321188
4731,6981879
2768,6102401
4966,7258807
4620,7480058
2212,6316808
3890,6417417
2475,6370425
3815,6769976
3670,5627565
4096,6518455
2587,6425508
4893,5252555
4722,5723516
4736,6642414
3135,6352851
3834,6207776
3898,5751073
4386,5711565
3904,7121148
4156,5702684
3275,5545953
2878,6885979
2215,7270347
3487,5842318
4161,7435798
4523,7051300
4049,5331712
4633,7080906
3337,5614711
4757,6606827
3510,5025290
4053,6959647
2099,5185005
4479,6914367
4020,7487309
2841,6797638
2643,6265524
4082,6624526
4198,5891920
2689,6507054
2627,6711800
3070,7081760
2159,5855819
2017,6054331
4754,5213052
3020,5237103
3856,6796261
2783,6515983
3803,5491794
2968,6012719
3754,5215174
4062,5353523
3200,5650557
3054,5405663
2922,5869896
3494,5893293
4433,6654532
3170,5024132
2951,6232253
2037,6134200
4108,5416860
2720,5013222
4852,7486351
2607,6616244
2317,6117602
3048,5992985
2038,5225461
2791,7443402
2274,6763864
2057,6685203
4921,6913256
2004,5806181
4070,7379800
4397,6730313
2445,5867784
2044,6819586
4978,6942745
3123,7099430
3065,5939725
4240,6470407
3671,5953108
4682,5192528
4703,6401508
2562,5290770
3979,6758171
3292,5501626
3788,7309481
2220,7304442
2892,5521297
4838,6209655
3792,5300876
4399,7131956
4720,6852343
3923,5569671
4459,5743644
4748,6282393
5000,5974875
3668,5196708
2948,5422147
2369,5681717
4228,6779041
3615,6716034
4001,5369980
3410,6710309
2580,6575795
4857,6533127
3100,5130767
3976,6161234
4419,5861329
4678,7100901
3016,5863875
3676,6787259
4894,7439299
4608,6410579
2903,5764033
4888,6173906
2379,6526587
4111,5065164
3871,6969024
2777,5059940
3249,6295329
2390,7017613
2890,7284343
3245,6600795
4826,6233813
4268,5990553
2832,5302597
4438,5213387
2957,6344291
2690,7051700
4050,6246210
2449,5439911
3024,6395276
4704,6599146
2417,5962192
4308,5520234
3940,6276547
2082,6572863
4702,6292348
3143,5864804
4753,7141755
3972,7163541
3432,5572435
2616,6596810
2438,5153473
4811,5467944
3914,5094727
3411,6356226
3697,7321634
4893,7150154
3404,5989316
3530,6044695
3361,5816146
3690,5969787
3128,5281052
3282,5403708
3554,5384093
4199,5709493
2961,5266773
3440,6067814
3309,5132854
4519,7028081
3675,7439173
2964,6984542
2421,6197563
4505,5604747
2809,6746902
3634,6958650
2665,7406117
2031,7309005
3997,5646845
3757,7367524
3832,6789535
4511,5146714
3225,5397622
2075,6162547
3051,6794783
3071,6799945
4614,6422800
3833,6842983
2288,6070531
2685,5449334
2701,5088277
2609,7146200
3767,5682317
4422,5363924
2023,6778263
3464,6742282
2039,5684473
2037,6153420
2888,6265515
4766,5501703
3945,6008993
4411,5503501
2493,6272786
2786,7268692
2627,5162171
3169,7364412
2280,6946029
3421,5761207
2520,5838460
3906,5994919
2787,5572199
3974,5968954
4096,6862027
4815,6958258
2142,5380861
2817,5052997
3286,6792008
3115,6945047
2207,6816275
3812,7404452
3612,5509397
2273,6216849
3087,6078922
2593,5507041
3749,7048859
4376,6851122
2583,5153618
2086,5706839
3310,5047138
4416,5646620
